
s      27221 Sun Jun 27 10:26:48 CDT 2010 META-INF/MANIFEST.MF
sm      4489 Sun Jun 27 10:26:46 CDT 2010 com/jcraft/jorbis/Residue0.class
sm       465 Sun Jun 27 10:26:46 CDT 2010 com/jcraft/jorbis/Residue1.class
sm       442 Sun Jun 27 10:26:46 CDT 2010 com/jcraft/jorbis/Residue2.class
sm      3575 Sun Jun 27 10:26:46 CDT 2010 com/jcraft/jorbis/StaticCodeBook.class
sm       794 Sun Jun 27 10:26:46 CDT 2010 com/jcraft/jorbis/Time0.class
sm       439 Sun Jun 27 10:26:46 CDT 2010 com/jcraft/jorbis/Util.class
sm      2553 Sun Jun 27 10:26:46 CDT 2010 net/minecraft/client/MinecraftApplet.class
sm       719 Sun Jun 27 10:26:46 CDT 2010 net/minecraft/isom/IsomPreviewApplet.class
sm      7752 Sun Jun 27 10:26:46 CDT 2010 paulscode/sound/codecs/CodecJOrbis.class
sm      5266 Sun Jun 27 10:26:46 CDT 2010 paulscode/sound/codecs/CodecWav.class
sm      5921 Sun Jun 27 10:26:46 CDT 2010 paulscode/sound/libraries/ChannelLWJGLOpenAL.class
sm     10554 Sun Jun 27 10:26:46 CDT 2010 paulscode/sound/libraries/LibraryLWJGLOpenAL.class
sm      8674 Sun Jun 27 10:26:46 CDT 2010 paulscode/sound/libraries/SourceLWJGLOpenAL.class

  s = signature was verified 
  m = entry is listed in manifest
  k = at least one certificate was found in keystore
  i = at least one certificate was found in identity scope

jar verified.

Warning: 
This jar contains entries whose signer certificate has expired. 
This jar contains entries whose certificate chain is not validated.

Re-run with the -verbose and -certs options for more details.
