
s      28618 Tue Apr 20 18:35:44 CDT 2010 META-INF/MANIFEST.MF
sm      3640 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/a/i.class
sm      2245 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/a/j.class
sm       479 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/a/k.class
sm       390 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/a/l.class
sm       722 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/a/m.class
sm      2755 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/b/a.class
sm       279 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/b/b.class
sm      1153 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/b/c.class
sm      1013 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/c/a.class
sm       300 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/c/b.class
sm      1238 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/c/c.class
sm      1132 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/c/d.class
sm       976 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/c/e.class
sm      1012 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/a/c/f.class
sm       875 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/a.class
sm      2131 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/b.class
sm      1494 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/c.class
sm       584 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/d.class
sm       595 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/e.class
sm      3194 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/f.class
sm       900 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/g.class
sm       615 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/h.class
sm      1505 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/i.class
sm      3650 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/client/c/a/j.class
sm      1803 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/b/a/a.class
sm      3753 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/b/a/b.class
sm      1442 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/b/a/c.class
sm      1986 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/c/a/a.class
sm       138 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/c/a/b.class
sm       755 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/c/a/c.class
sm       234 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/c/b/a.class
sm      1014 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/c/b/b.class
sm      3638 Tue Apr 20 18:35:42 CDT 2010 net/minecraft/a/a/c/b/c.class

  s = signature was verified 
  m = entry is listed in manifest
  k = at least one certificate was found in keystore
  i = at least one certificate was found in identity scope

jar verified.

Warning: 
This jar contains entries whose signer certificate has expired. 
This jar contains entries whose certificate chain is not validated.

Re-run with the -verbose and -certs options for more details.
